Ticker,Growth (%),CAGR (%),Net Profit Margin (%)
SCHW,43.91046756168191,25.616015697498252,30.307048862593085
CHTR,-34.46655234234937,-23.261391058942383,9.227557411273485
CVX,10.698850626316416,6.5750873621211126,9.131190089652248
CMG,-7.695738491650278,-4.89323759358975,13.559571615434635
CB,21.685904411309682,13.084505933993329,16.512911843276935
CHD,-2.2165868042273185,-1.39450109977739,9.583926904750209
CI,-9.015464776068358,-5.747440148578065,1.4051656409584916
CINF,47.21314673914019,27.414450750732613,20.216988621328394
CTAS,54.71577577402329,31.444854196020945,17.526588751202713
CSCO,49.63769588081474,28.725131553881724,19.18108655651172
C,85.26554234835598,47.1545107822632,15.639605865160503
CFG,51.74861152024973,29.85981989177724,19.361046959199385
CLX,-9.339283597500247,-5.9577397069607745,11.402027027027026
CME,42.515504749575705,24.851782519687692,57.5161906004796
